_date,total_clones,unique_clones
2021-06-19,18,17
2021-06-20,75,30
2021-06-21,97,30
2021-06-22,102,33
2021-06-23,211,42
2021-06-24,101,32
2021-06-25,126,38
2021-06-26,81,37
2021-06-27,118,36
2021-06-28,78,30
2021-06-29,116,36
2021-06-30,133,38
2021-07-01,232,49
2021-07-02,257,46
2021-07-03,251,45
2021-07-04,303,45
2021-07-05,379,50
2021-07-06,133,36
2021-07-07,134,32
2021-07-08,110,33
2021-07-09,78,31
2021-07-10,114,32
2021-07-11,119,38
2021-07-12,166,39
2021-07-13,124,35
2021-07-14,132,30
2021-07-15,154,39
2021-07-16,174,33
2021-07-17,158,32
2021-07-18,159,39
2021-07-19,204,37
2021-07-20,198,32
2021-07-21,108,25
2021-07-22,141,26
2021-07-23,215,36
2021-07-24,141,25
2021-07-25,97,34
