_date,total_views,unique_views
2021-07-03,12,1
2021-07-26,1,1
2021-07-28,2,1
2021-08-05,1,1
2021-08-14,1,1
2021-08-17,1,1
2021-09-17,2,2
2021-09-19,1,1
2021-09-24,1,1
2021-10-04,1,1
2021-10-07,2,1
2021-10-09,1,1
2021-10-22,3,1
2021-11-01,15,1
2021-11-05,16,2
2021-11-06,1,1
2021-11-07,1,1
2021-11-09,10,2
2021-11-10,1,1
2021-11-19,2,2
2021-12-09,1,1
2021-12-10,2,2
2021-12-13,2,1
2021-12-21,1,1
2021-12-24,1,1
2021-12-26,3,1
2022-01-04,2,1
2022-01-06,1,1
2022-01-07,1,1
2022-01-08,1,1
2022-01-24,1,1
2022-01-25,1,1
2022-01-29,1,1
2022-02-08,2,1
2022-02-20,1,1
2022-02-21,1,1
2022-02-23,1,1
2022-02-25,1,1
2022-02-26,1,1
2022-03-10,1,1
2022-03-11,3,1
2022-03-20,3,2
2022-03-27,5,3
2022-04-03,1,1
2022-04-09,1,1
2022-04-29,3,1
2022-05-03,2,1
2022-05-13,1,1
2022-05-14,2,2
2022-05-16,1,1
2022-05-23,1,1
2022-05-25,1,1
2022-06-04,1,1
2022-06-06,1,1
2022-06-07,2,2
2022-06-10,3,2
2022-06-21,1,1
2022-06-24,1,1
2022-06-29,7,1
2022-07-01,1,1
2022-07-12,1,1
2022-07-14,1,1
2022-07-18,1,1
2022-07-29,6,2
2022-08-03,2,1
2022-08-04,1,1
2022-08-29,1,1
2022-09-26,1,1
2022-10-06,1,1
2022-10-21,1,1
2022-11-03,1,1
2022-11-08,4,2
2022-11-22,1,1
2022-11-23,1,1
2022-11-30,4,1
2022-12-20,3,2
2022-12-24,1,1
2022-12-27,1,1
2023-02-07,1,1
2023-02-25,1,1
2023-02-26,3,2
2023-03-22,1,1
2023-03-23,1,1
2023-04-14,1,1
2023-05-23,1,1
2023-05-26,2,1
2023-05-27,1,1
2023-05-31,5,3
2023-06-05,2,1
2023-06-11,1,1
2023-06-13,5,2
2023-06-15,1,1
2023-07-02,1,1
2023-07-03,1,1
2023-07-10,1,1
2023-07-25,1,1
2023-08-06,2,2
2023-08-11,1,1
2023-08-12,2,2
2023-08-13,6,3
2023-08-14,1,1
2023-08-15,4,3
2023-08-28,2,2
2023-08-29,2,1
2023-09-02,3,1
2023-09-18,2,1
2023-10-05,1,1
2023-10-09,3,2
2023-10-22,33,1
2023-11-15,3,1
2023-11-16,1,1
2023-11-22,5,2
2023-11-25,3,2
2023-12-02,3,2
2023-12-09,6,1
2023-12-10,5,2
2023-12-11,2,1
2023-12-12,3,1
2023-12-13,2,2
2023-12-14,8,3
2023-12-15,4,3
2023-12-17,4,2
2023-12-22,2,2
2023-12-23,2,2
2023-12-24,9,3
2023-12-27,4,2
2023-12-28,2,2
2023-12-29,1,1
2023-12-30,1,1
2023-12-31,5,2
2024-01-01,2,2
2024-01-02,4,2
2024-01-11,2,2
2024-01-14,3,2
2024-01-19,6,1
2024-01-24,1,1
2024-01-29,1,1
2024-02-02,1,1
2024-02-20,1,1
2024-02-22,4,2
2024-02-25,4,2
2024-02-26,4,2
2024-02-27,1,1
2024-02-28,3,2
2024-02-29,4,3
2024-03-01,3,2
2024-03-04,3,3
2024-03-05,2,2
2024-03-07,2,1
2024-03-12,8,4
2024-03-15,6,3
2024-03-19,4,1
2024-03-20,2,2
2024-03-21,1,1
2024-03-28,1,1
2024-04-06,1,1
2024-04-11,3,1
2024-04-18,2,2
2024-04-24,1,1
2024-04-28,2,1
2024-05-06,3,2
2024-05-24,2,2
2024-05-31,3,1
2024-06-05,1,1
2024-06-11,1,1
2024-06-21,1,1
2024-06-27,4,2
2024-07-06,2,1
2024-07-16,1,1
2024-07-21,2,1
2024-07-23,1,1
2024-07-25,1,1
2024-08-01,2,1
2024-08-07,1,1
2024-08-08,2,1
2024-08-12,6,3
2024-08-13,2,1
2024-08-19,2,1
2024-08-20,1,1
2024-08-26,6,1
2024-08-30,1,1
2024-09-04,2,2
2024-09-05,7,7
2024-09-06,1,1
2024-09-17,1,1
2024-09-18,2,2
2024-09-19,1,1
2024-10-07,1,1
2024-10-08,1,1
2024-10-09,1,1
2024-10-11,2,2
2024-10-12,7,3
2024-10-13,1,1
2024-10-26,1,1
2024-10-28,2,2
2024-10-29,1,1
2024-11-02,1,1
2024-11-04,4,4
2024-11-05,1,1
2024-11-08,1,1
2024-11-15,1,1
2024-11-18,4,3
2024-11-20,1,1
2024-12-05,1,1
2024-12-13,1,1
2024-12-20,1,1
2024-12-22,1,1
2024-12-23,1,1
2024-12-28,1,1
2025-01-14,1,1
2025-01-21,1,1
2025-02-21,1,1
2025-02-22,1,1
2025-03-21,4,1
2025-03-24,5,1
2025-04-03,1,1
2025-04-10,4,1
2025-04-13,1,1
2025-04-14,1,1
2025-04-25,1,1
2025-05-09,1,1
2025-05-13,1,1
